Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,enhanced_birth_year,match_status
1,Robert Arneson,American,Male,1930.0,1992.0,,,api_error
2,Doroteo Arnaiz,Spanish,Male,1936.0,,,,api_error
3,Bill Arnold,American,Male,1941.0,,,,api_error
4,Charles Arnoldi,American,Male,1946.0,,,,api_error
5,Per Arnoldi,Danish,Male,1941.0,,,,api_error
6,Danilo Aroldi,Italian,Male,1925.0,,,,api_error
7,Bill Aron,American,Male,1941.0,,,,api_error
9,David Aronson,American,Male,1923.0,,,,api_error
10,Irene Aronson,American,Female,1918.0,,,,api_error
11,Jean (Hans) Arp,French,Male,1886.0,1966.0,,,api_error
12,Jüri Arrak,Estonian,Male,1936.0,,,,api_error
13,J. Arrelano Fischer,Mexican,Male,1911.0,1995.0,,,api_error
15,Folke Arstrom,Swedish,Male,1907.0,1997.0,,,api_error
16,Cristobal Arteche,Spanish,Male,1900.0,1964.0,,,api_error
18,Artko,,,,,,,api_error
19,Richard Artschwager,American,Male,1923.0,2013.0,,,api_error
21,Ruth Asawa,American,Female,1926.0,2013.0,,,api_error
22,Isidora Aschheim,Israeli,Female,,,,,api_error
23,Charles Robert Ashbee,British,Male,1863.0,1942.0,,,api_error
24,Donald Ashcraft,American,Male,1927.0,,,,api_error
25,E. M. Ashe,American,Male,1867.0,1941.0,,,api_error
26,Göran Åslin,Swedish,,1940.0,,,,api_error
27,Erik Gunnar Asplund,Swedish,Male,1885.0,1940.0,,,api_error
28,Geneviève Asse,French,Female,1923.0,,,,api_error
30,Sergio Asti,Italian,Male,1926.0,,,,api_error
31,Dana Atchley,American,Female,1941.0,2000.0,,,api_error
32,Atelier Eggers,French,,,,,,api_error
33,A.A.P.,American,,,,,,api_error
34,Alvar Aalto,Finnish,Male,1898.0,1976.0,,,api_error
35,Aino Aalto,Finnish,Female,1894.0,1949.0,,,api_error
36,Eero Aarnio,Finnish,Male,1932.0,,,,api_error
37,Jules Aarons,American,Male,1921.0,2008.0,,,api_error
38,Magdalena Abakanowicz,Polish,Female,1930.0,,,,api_error
39,James Abbe,American,Male,1883.0,1973.0,,,api_error
40,Jussuff Abbo,British,Male,1888.0,1953.0,,,api_error
41,Berenice Abbott,American,Female,1898.0,1991.0,,,api_error
42,Nobuya Abe,Japanese,Male,1913.0,1971.0,,,api_error
43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900.0,,,,api_error
44,Robert Abel,American,Male,1937.0,,,,api_error
46,Sigmund Abeles,American,Male,1934.0,,,,api_error
47,Raimund Abraham,American,Male,1933.0,2010.0,,,api_error
49,Ivor Abrahams,British,Male,1935.0,,,,api_error
50,Gerald Abramovitz,British,Male,1928.0,2011.0,,,api_error
51,William Ross Abrams,American,Male,1920.0,2007.0,,,api_error
52,Rodolfo Abularach,Guatemalan,Male,1933.0,,,,api_error
53,Vito Acconci,American,Male,1940.0,,,,api_error
54,Milton Ackoff,American,Male,1915.0,,,,api_error
55,Norman Ackroyd,British,Male,,,,,api_error
56,Luis Alberto Acuña,Colombian,Male,1904.0,1994.0,,,api_error
57,Henri Georges Adam,French,Male,1904.0,1967.0,,,api_error
58,Antoine Samuel Adam-Salomon,French,Male,1818.0,1881.0,,,api_error
59,Valerio Adami,Italian,Male,1935.0,,,,api_error
60,Ansel Adams,American,Male,1902.0,1984.0,,,api_error
61,Alice Adams,American,Female,1930.0,,,,api_error
62,Clinton Adams,American,Male,1918.0,2002.0,,,api_error
