Artist ID,Name,Nationality,Gender,Birth Year,Death Year
1372,Elisabeth van Damme,Nationality unknown,Female,,
1386,Pan Daqiang,Chinese,,1937.0,
1390,Alfred Dargis,American,Male,,
1399,Hal Davidson,American,Male,,
1413,Laurence Daws,Australian,Male,,
1426,Francis De Erdely,Hungarian,Male,,
1430,R. S. De Lamater,American,,,
1437,Victor De Palma,Nationality unknown,Male,,
1442,J. De Praetre,German,,1879.0,1947.0
1452,Erwin De Vries,Dutch,Male,,
1457,David Deahl,American,Male,,
1483,Victor Delhez,Belgian,Male,,
1488,Nélida Demichelis,Argentine,Female,,
1494,Reynolds G. Dennis,American,Male,,
1499,J. Deplanque,French,,,
1501,Co Derr,Swedish,,,
1502,André Des Gachons,French,Male,,
1522,Umberto di Lazzaro,Italian,Male,,
1527,Barbaralee Diamonstein,American,Female,,
1534,Ronald Dickens,British,Male,,
1535,Jane Dickerman,American,Female,,
1540,Julio de Diego,Nationality unknown,Male,,
1542,Geurt van Dijk,Dutch,Male,,
1543,Daniel den Dikkenbboer,Dutch,Male,,
1550,Harry Disberg,Dutch,Male,,
1554,Disney Studios,American,,,
1586,Seena Donneson,Nationality unknown,Female,,
1599,James H. Dougherty,Nationality unknown,Male,,
1607,W. & D. Downey,British,,,
1618,Lynne Drexler,American,Female,,
1621,L. Jean Droit,French,Male,,
1640,Bernd Duerr,German,,1953.0,
1644,Francis Dufrêne,Nationality unknown,Male,,
1655,E. Durand,French,,,
1656,Sylvain Durand,French,Male,,
1662,Hansi Durlach,American,Female,,
1679,Karl Edelman,American,Male,,
1687,Benni Efrat,Israeli,Male,,
1689,Eberhard Eggers,German,Male,,
1700,Hans Eijkelboom,Dutch,Male,,
1711,Harold Elberg,American,Male,,
1712,Valdemar H. Elenbaas,Dutch,Male,,
1714,Etiènne Elias,Belgian,Male,,
1715,Eliot Noyes Industrial Design,American,,,
1719,Clifford and Rosemary Ellis,British,,,
1721,Rita Eloul,Nationality unknown,Female,,
1740,Edward Enlin,American,Male,,
1746,Erling Ericsson,Swedish,Male,,
1749,Vera Ermolaeva,Russian,Female,,
1755,Erwin,French,,,
1758,Castro Escobedo,Nationality unknown,Male,,
1776,Merlyn Evans,British,Male,,
1786,Agenore Fabbri,Italian,Male,,
1796,C. B. Falls,American,,,
1806,Walker Farynk,Nationality unknown,Male,,
1807,Roberto Fasola,Italian,Male,,
1808,Franz Fassler,Swiss,Male,,
1823,Federico,American,,,
1837,Nathan I. Felde,American,Male,,
1848,William Fenton,British,Male,,
1849,George J. Fenwick,British,Male,,
1862,Ronaldo Ferri,Nationality unknown,Male,,
1864,Gianfranco Ferroni,Italian,Male,,
1865,Ferry's Art Gallery,American,,,
1888,Hella Fischer-Thorer,Nationality unknown,Female,,
1898,Stephen R. Fitch,American,Male,,
1900,Victor Fitzgerald,British,Male,,
1901,Edward Fitzgerald,Nationality unknown,Male,,
1902,Floyd Fitzpatrick,American,Male,,
1903,James Fitzsimmons,American,Male,,
1909,Flannery,Nationality unknown,,,
1910,Henry G. Flannery,American,Male,,
1928,A. Foncelle,French,,,
1934,Fritz Foord,American,Male,,
1938,B. F. Ford,American,,,
1947,Gerhard Forster,Italian,Male,,
1953,Foster Associates,British,,1967.0,
1967,Franck,French,,,
1985,Barnett Freedman,British,Male,,
1987,Martin Freeman,American,Male,,
2001,G. John Friedlander,American,Male,,
2010,Christian (Johann Christianadolf) Friedrich,German,Male,,
2037,Hideji Furukawa,Japanese,Male,,
2041,Fussli,Swiss,,,
2050,Robert Gair Company,American,,,
2054,Gale,American,,,
2069,A. F. Gangkofner,German,,1921.0,
2072,Izika Gaon,Israeli,,1938.0,
2085,Robert S. Gargiuli,American,Male,,
2113,Udo M. Geissler,German,,1932.0,
2117,Nancy Genn,American,Female,,
2120,Franco Gentilini,Italian,Male,,
