Artist ID,Name,Nationality,Gender,Birth Year,Death Year
7841,Sean Mellyn,American,Male,1965.0,
7844,Katy Schimert,American,Female,1963.0,
7849,Sharon Harper,American,Female,1966.0,
7852,Bastienne Schmidt,German,Male,1961.0,
7855,Rachel Harrison,American,Female,1966.0,
7858,Juha Kaakko,Finnish,,1964.0,
7859,Kimmo Liimatainen,Finnish,,1965.0,
7860,Jari Tirkkonen,Finnish,,1965.0,
7861,Ilkka Laine,Finnish,Female,1964.0,
7862,Heikkinen Komonen Architects,Finnish,,1974.0,
7866,Accra Shepp,American,Male,1962.0,
7901,An-My Lê,American,Female,1960.0,
7920,Maria Serebriakova,Russian,Female,1965.0,
7924,Bogdan Achimescu,Romanian,Male,1965.0,
7931,Luca Buvoli,Italian,Male,1963.0,
7935,Werner Aisslinger,German,Male,1964.0,
7959,Jean-Michel Othoniel,French,Male,1964.0,
7962,Sarah Sze,American,Female,1969.0,
7965,Lisa Yuskavage,American,Female,1962.0,
7967,Chris Ofili,British,Male,1968.0,
7969,Gary Simmons,American,Male,1964.0,
7970,Katharina Bosse,German,Female,1968.0,
7979,interware SARL,French,Male,2000.0,
7994,Laurene Leon Boym,American,Female,1964.0,
7999,Marc Newson,Australian,Male,1963.0,
8005,Sebastian Bergne,British,Male,1966.0,
8007,Santina Bonini,Italian,Female,1961.0,
8014,Joseph Forakis,American,Male,1962.0,
8017,Lawrence Lam,American,Male,1960.0,
8020,Takeshi Ishiguro,Japanese,Male,1969.0,
8023,Doug Olson,American,Male,1961.0,
8033,Fiona Banner,British,Female,1966.0,
8041,Tracey Moffatt,Australian,Female,1960.0,
8042,Elizabeth Peyton,American,Female,1965.0,
8043,Ugo Rondinone,Swiss,Male,1964.0,
8044,Wolfgang Tillmans,German,Male,1968.0,
8046,Luba Lukova,American,Female,1960.0,
8048,Ralph Schraivogel,Dutch,Male,1960.0,
8053,"Dominique Perrault Architecture, Paris",French,,1981.0,
8068,Jorge Ribalta,Spanish,Male,1963.0,
8071,Oliver Wasow,American,Male,1960.0,
8094,Marco Breuer,German,Male,1966.0,
8096,Jeanne Dunning,American,Female,1960.0,
8120,Michael Ray Charles,American,Male,1967.0,
8121,Julia Jacquette,American,Female,1964.0,
8122,Fabian Marcaccio,Argentine,Male,1963.0,
8123,Mariko Mori,Japanese,Female,1967.0,
8132,Jorge Pardo,American,Male,1963.0,
8137,Allyson Strafella,American,Female,1969.0,
8144,Daniela Haufe,German,Female,1966.0,
8146,Sophie Alex,German,Female,1967.0,
8149,Konstantin Grcic,German,Male,1965.0,
8152,Vera Lutter,German,Female,1960.0,
8153,Stan Douglas,Canadian,Male,1960.0,
8164,Harmony Korine,American,Male,1973.0,
8169,Langlands & Bell,British,,1978.0,
8187,Laurenz Berges,German,Male,1966.0,
8188,E. V. Day,American,Female,1968.0,
8190,Catherine Opie,American,Female,1961.0,
8191,Inka Essenhigh,American,Female,1969.0,
8192,Eberhard Havekost,German,Male,1967.0,
8194,Michael Wesely,German,Male,1963.0,
8197,Shahzia Sikander,Pakistani,Female,1969.0,
8198,Do Ho Suh,Korean,Male,1962.0,
8202,Nari Ward,American,Male,1963.0,
8203,Kevin Appel,American,Male,1967.0,
8215,"Venturi, Rauch and Scott Brown",American,,1980.0,
8241,Ken Grant,British,Male,1967.0,
8244,Alessandra Sanguinetti,American,Female,1968.0,
8260,Doug Aitken,American,Male,1968.0,
8261,Vanessa Beecroft,Italian,Female,1969.0,
8266,Jake Chapman,British,Male,1966.0,
8267,Dinos Chapman,British,Male,1962.0,
8275,Nicola Constantino,Argentine,Female,1964.0,
8278,Michael Joo,American,Male,1966.0,
8287,Lisa Ruyter,American,Female,1968.0,
8288,Richard Billingham,British,Male,1970.0,
8292,Janine Antoni,Bahamian,Female,1964.0,
